11740 MATH043.05; PRECALC III: ADVANCED TOPICS; Lund, Lance M.; MTWR 1000-1215; L65
11739 ECON002.65Z; PRIN MICROECONOMICS; Seshadri, Triyakshana; TBA -; ONLINE
11738 P E 032K58; BASKETBALL TECHNIQUES; Hankins, Megan M.; MTWR -; PE21W
11737 P E 032K57; BASKETBALL TECHNIQUES; Damjanovic, Jason C.; MTWR -; PE21W
11736 P E 04XX02; HI INTENS STRNGTH DEV/AT; Mexicano, Angelena T.; MTWR 1230-1320; FLDSB
11735 NURS083L01; PERINATAL NURS CLINICAL; Libova, Olga A.; MT 1400-2200; HOSP
11734 NURS083.00; PERINATAL NURSING; Libova, Olga A.; F 0830-1220; S81
11733 P E 099.02; ORIENTATION TO ATHLETICS; Damjanovic, Jason C.; TBA -; MLC103
11732 P E 099.03; ORIENTATION TO ATHLETICS; Damjanovic, Jason C.; TBA -; MLC103
11730 P E 043X55; INTERCOLL X COUNTRY (MEN/WOM); Mattis, Nicholas O.; MTWRF -; ST-TR
11729 P E 39MX55; INTERCOLLEGIATE MEN'S SOCCER; Johnson, Mark R.; TBA -; ST-FLD
11728 P E 42WX55; INTRCOLLEG VOLLEY (WOMEN); Guevara, Dawnis C.; TBA -; PE21E
11727 P E 040X55; INTERCOLLEGIATE FOOTBALL; Atencio, Dan A.; MTWRF -; ST-FLD
11726 P E 041X55; INTERCOLLEG WATER POLO; Von Matt, Danielle M.; MTWRF -; POOLE
11725 P E 39WX55; INTERCOL WMN'S SOCCER; Owiesny, Cheryl L.; TBA -; FLDS
11724 P E 099.01; ORIENTATION TO ATHLETICS; Damjanovic, Jason C.; TBA -; MLC103
11723 SIGN001.02; ELEM AMER SIGN LANG/1ST QTR; Cheung, Michael P.; MTWR 0730-0945; MQ-3
11721 CIS 004.02Y; COMPUTER LITERACY; Hepburn, William R.; MTWR 1230-1420; L65
11720 CHEM077.65R; SPEC PROJ IN CHEMISTRY; Staff, M; BA -; TBA
11719 CHEM077X65R; SPEC PROJ IN CHEMISTRY; Staff, M; TBA -; TBA
11718 CHEM050.21; PREP FOR GENRL CHEMISTRY; DeMello, Nicholas C.; MTWR 1500-1615; SC2210
11717 CHEM077Y65R; SPEC PROJ IN CHEMISTRY; Staff, M; TBA -; TBA
11713 PEA 002.03; ADAPTD STRNGTH DEVEL; Perkins, Nathan; TR 1400-1500; PE13
11712 BUS 056.61; HUMAN RELATNS IN THE WRKPLACE; Voyvodich, Nick G.; MTWR 1830-2045; ADM102
11708 ESCI001L04; ENVIRON SCIENCE LAB; Phillips, Ryan A.; R 0930-1520; KC239
11707 ESCI001L03; ENVIRON SCIENCE LAB; McCluskey, Joshua A.; W 1130-1420; KC120
11706 BUS 067A61Z; FED INCOME TAX; Botsford, Lydia R.; TBA -; ONLINE
11702 P E 032J01; WATER POLO TECHNIQUES; Von Matt, Danielle M.; TWR 0730-1120; POOLDW
11701 SPCH001.12; PUBLIC SPEAKING; McDonnell, Patrick K.; TWR 1230-1455; ADM103
11700 ENGR010.61; INTRO ENGINEERNG; Zand, Manizheh; MTWR 1830-1945; S48
11697 ACCT068.61Z; ADV TAX ACCOUNTING II; Botsford, Lydia R.; TBA -; ONLINE
11696 P E 072.61Z; INTRO TO SPORT IN SOCIETY; Guevara, Dawnis C.; TBA -; ONLINE
11695 P E 006K01; CARDIO KICK; Ghiasvand, Farzaneh; TR 1200-1350; PE15
11694 P E 006G61; AEROBIC SWIMMING; May, Christian R.; TR 2000-2150; POOLM
11693 P E 026C61; INTERM SWIMMING; May, Christian R.; TR 2000-2150; POOLE
11692 P E 033A01; SOCCER; Landefeld, Mark J.; MW 1000-1150; FLDS
11690 POLI017.56; GRSRTS DEMOC:LDRSHP/PWR; Chang, Michael; TWR 1330-1555; L84
11689 POLI017.55; GRSRTS DEMOC:LDRSHP/PWR; Chang, Michael; TWR 1000-1225; L84
11688 ESL 253.61; HIGH INTERM. GRAMM/WRITG; Rivera, Meegan J.; MW 1800-2150; L33
11686 EWRT211.20; PREPARATORY WRITING SKILLS; Diehl, Mary C.; MTWR 1500-1715; LCW26
11685 EWRT002.68Z; CRIT READ, WRIT & THINK; Gray, Charles L.; TBA -; ONLINE
11684 EWRT002.07; CRIT READ, WRIT & THINK; Olson, Lucia T.; MTWR 1230-1445; E25
11683 EWRT002.06; CRIT READ, WRIT & THINK; Sandel, Adam H.; MTWR 1230-1445; G9
11682 EWRT001B61; READNG, WRTNG & RESRCH; Gravener, John M.; MTWR 1730-1945; S72
11681 EWRT001B07; READNG, WRTNG & RESRCH; Gravener, John M.; MTWR 1500-1715; S72
11680 EWRT001A62Y; COMPOSITION AND READING; Palmore, Kim J.; TR 1730-1945; SEM2
11679 EWRT001A12; COMPOSITION AND READING; Quinn, Roseanne L.; MTWR 1500-1715; S49
11678 EWRT001A13; COMPOSITION AND READING; Hanzimanolis, Margaret C.; MTWR 1500-1715; L46
11677 COUN200.SK; ORIENTATION TO COLLEGE; Morales, Jorge A.; M 1000-1150; L35
11676 COUN200.FY; ORIENTATION TO COLLEGE; Aragon, Erick G.; M 1000-1150; L32
11675 COUN200X02; ORIENTATION TO COLLEGE; Staff, M; MTWRF 1000-1430; L33
11674 COUN200X01; ORIENTATION TO COLLEGE; Staff, M; MTWRF 1000-1430; L32
11672 COUN200.99; ORIENTATION TO COLLEGE; Alexander, Robert M.; TWRF 1700-1910; L63
11671 COUN200.97; ORIENTATION TO COLLEGE; Huynh, Ky-Duyen L.; TWRF 1400-1610; L33
11670 COUN200.96; ORIENTATION TO COLLEGE; Fu, Mark Y.; TWRF 0900-1110; L34
11669 COUN200.74; ORIENTATION TO COLLEGE; Moreno, Victoria A.; TWRF 1400-1610; L32
11668 COUN200.73; ORIENTATION TO COLLEGE; Moreno, Victoria A.; TWRF 1100-1310; L35
11667 COUN200.70; ORIENTATION TO COLLEGE; Huynh, Ky-Duyen L.; TWRF 1100-1310; L32
11663 COUN200.13; ORIENTATION TO COLLEGE; Burgos, Patricia G.; MTWR 0900-1110; L31
11662 COUN200.93; ORIENTATION TO COLLEGE; Dahlke, Barbara; MTWR 1300-1510; L31
11661 COUN200.92; ORIENTATION TO COLLEGE; Hernando, Herminio W.; MTWR 1300-1510; L36
11660 COUN200.91; ORIENTATION TO COLLEGE; Chan, Susanne W.; MTWR 1300-1510; L27
11659 COUN200.90; ORIENTATION TO COLLEGE; Freeman, Cleve L.; MTWR 1300-1510; L34
11658 COUN200.89; ORIENTATION TO COLLEGE; Fu, Mark Y.; MTWR 1300-1510; L33
11657 COUN200.88; ORIENTATION TO COLLEGE; Huynh, Ky-Duyen L.; MTWR 1300-1510; L32
11656 COUN200.87; ORIENTATION TO COLLEGE; Dahlke, Barbara; MTWR 0900-1110; L64
11655 P E 053.61Z; PHYSICAL STRESS MANAGEMENT; Von Matt, Danielle M.; TBA -; ONLINE
11654 COUN200.86; ORIENTATION TO COLLEGE; Hernando, Herminio W.; MTWR 0900-1110; L63
11652 COUN200.85; ORIENTATION TO COLLEGE; Chan, Susanne W.; MTWR 0900-1110; L62
11651 P E 032K62; BASKETBALL TECHNIQUES; Hankins, Megan M.; TR 1800-2050; PE21E
11649 P E 032K01; BASKETBALL TECHNIQUES; Damjanovic, Jason C.; MTW 1600-1750; PE21W
11648 COUN200.84; ORIENTATION TO COLLEGE; Freeman, Cleve L.; MTWR 0900-1110; L61
11646 COUN200.83; ORIENTATION TO COLLEGE; Fu, Mark Y.; MTWR 0900-1110; L34
